"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1390","should show chat input as visible but return error when no documents uploaded","chromium","2026-02-21","passed","2026-02-21","Edge Cases","edgeCases.spec.ts","",""
"","6836","should delete all files and verify count is zero via API","chromium","2026-02-21","passed","2026-02-21","Document Upload","fileUpload.spec.ts","",""
"","15965","should handle rapid successive uploads without errors","chromium","2026-02-21","passed","2026-02-21","Edge Cases","edgeCases.spec.ts","",""
"","6140","should verify document is uploaded via API","chromium","2026-02-21","passed","2026-02-21","AI Chatbot - Response Verification","chatbot.spec.ts","",""
"","6635","should upload a single TXT file and verify via UI","chromium","2026-02-21","passed","2026-02-21","Document Upload","fileUpload.spec.ts","",""
"","6198","should confirm document count matches between UI and API","chromium","2026-02-21","passed","2026-02-21","Document Upload","fileUpload.spec.ts","",""
"","11625","should handle upload-delete-reupload cycle correctly","chromium","2026-02-20","passed","2026-02-20","Edge Cases","edgeCases.spec.ts","",""
"","10769","should handle duplicate file upload gracefully","chromium","2026-02-21","passed","2026-02-21","Edge Cases","edgeCases.spec.ts","",""
"","5793","should delete a specific document by ID","chromium","2026-02-21","passed","2026-02-21","Document Upload","fileUpload.spec.ts","",""
"","8271","should handle sequential chat questions correctly","chromium","2026-02-21","passed","2026-02-21","Edge Cases","edgeCases.spec.ts","",""
"","2435","should not upload an unsupported file type","chromium","2026-02-21","passed","2026-02-21","Document Upload","fileUpload.spec.ts","",""
"","6844","should upload a single TXT file and verify via API","chromium","2026-02-21","passed","2026-02-21","Document Upload","fileUpload.spec.ts","",""
"","18426","should handle multiple file operations in sequence","chromium","2026-02-21","passed","2026-02-21","Edge Cases","edgeCases.spec.ts","",""
"","5979","should respond to a relevant question about document content","chromium","2026-02-21","passed","2026-02-21","AI Chatbot - Response Verification","chatbot.spec.ts","",""
"","1733","should upload file directly via API and verify it appears in UI","chromium","2026-02-21","passed","2026-02-21","Edge Cases","edgeCases.spec.ts","",""
"","6271","should handle conceptual questions about the document","chromium","2026-02-21","passed","2026-02-21","AI Chatbot - Response Verification","chatbot.spec.ts","",""
"","9260","should verify AI response contains expected keywords via API","chromium","2026-02-21","passed","2026-02-21","AI Chatbot - Response Verification","chatbot.spec.ts","",""
"","7614","should show correct response in UI after document is uploaded","chromium","2026-02-21","passed","2026-02-21","Edge Cases","edgeCases.spec.ts","",""
"","5939","should retrieve chat history via API after conversation","chromium","2026-02-21","passed","2026-02-21","AI Chatbot - Response Verification","chatbot.spec.ts","",""
"","7875","should upload a single PDF file and verify via API","chromium","2026-02-21","passed","2026-02-21","Document Upload","fileUpload.spec.ts","",""
"","16860","should upload multiple files sequentially via UI","chromium","2026-02-21","passed","2026-02-21","Document Upload","fileUpload.spec.ts","",""
"","5790","should verify document metadata fields in API response","chromium","2026-02-21","passed","2026-02-21","Document Upload","fileUpload.spec.ts","",""
"","1268","should return 400 error when chat is used without uploading a document","chromium","2026-02-21","passed","2026-02-21","Edge Cases","edgeCases.spec.ts","",""
"","6485","should return 400 error after all documents are deleted","chromium","2026-02-21","passed","2026-02-21","Edge Cases","edgeCases.spec.ts","",""
"","1185","should return error when asking without documents","chromium","2026-02-21","passed","2026-02-21","Edge Cases","edgeCases.spec.ts","",""
"","5978","should track message count increasing after each question","chromium","2026-02-21","passed","2026-02-21","AI Chatbot - Response Verification","chatbot.spec.ts","",""
"","9194","should upload a single DOCX file and verify via API","chromium","2026-02-21","passed","2026-02-21","Document Upload","fileUpload.spec.ts","",""
"","8344","should verify messages API returns correct structure with user and AI messages","chromium","2026-02-21","passed","2026-02-21","AI Chatbot - Response Verification","chatbot.spec.ts","",""
"","6234","should reflect empty document list in UI after deletion","chromium","2026-02-21","passed","2026-02-21","Edge Cases","edgeCases.spec.ts","",""
"","8712","should handle questions with special characters","chromium","2026-02-21","passed","2026-02-21","Edge Cases","edgeCases.spec.ts","",""
"","5707","should confirm specific document appears in API response","chromium","2026-02-21","passed","2026-02-21","Document Upload","fileUpload.spec.ts","",""
"","6284","should delete all files and verify count is zero via UI","chromium","2026-02-21","passed","2026-02-21","Document Upload","fileUpload.spec.ts","",""
"","9134","should handle long descriptive questions without errors","chromium","2026-02-21","passed","2026-02-21","Edge Cases","edgeCases.spec.ts","",""
"","7424","should verify API response structure on successful chat","chromium","2026-02-21","passed","2026-02-21","Edge Cases","edgeCases.spec.ts","",""
"","13312","should verify all multiple uploaded files via API","chromium","2026-02-21","passed","2026-02-21","Document Upload","fileUpload.spec.ts","",""
"","6297","should load chat interface and be ready for input","chromium","2026-02-21","passed","2026-02-21","AI Chatbot - Response Verification","chatbot.spec.ts","",""
"","27728","should answer specific questions about the document accurately","chromium","2026-02-21","passed","2026-02-21","AI Chatbot - Response Verification","chatbot.spec.ts","",""
"","5989","should send a message without errors","chromium","2026-02-21","passed","2026-02-21","AI Chatbot - Response Verification","chatbot.spec.ts","",""
